State,District,Season,Crop,Soil_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Fertilizer_kg_per_hectare,Soil_pH,Irrigation_Type,Previous_Crop,Pest_Risk,Yield_tonnes_per_hectare
Maharashtra,District_42,Zaid,Maize,Loamy,2143.4,23.1,73.0,145.9,5.5,Tubewell,Pulses,Low,2.53
Assam,District_39,Zaid,Pulses,Loamy,1543.7,23.8,48.8,76.0,7.1,Tubewell,Rice,Low,1.39
Tamil Nadu,District_46,Kharif,Rice,Loamy,2072.2,37.3,77.5,121.0,5.2,Sprinkler,Rice,Medium,3.32
West Bengal,District_38,Zaid,Maize,Red,691.1,19.6,89.3,183.4,6.6,Drip,Cotton,Low,3.09
Odisha,District_9,Kharif,Maize,Red,1622.8,27.6,50.6,125.2,5.7,Drip,Wheat,Low,2.41
Punjab,District_14,Kharif,Maize,Alluvial,999.7,24.2,49.0,180.5,7.7,Tubewell,Wheat,Low,2.25
Rajasthan,District_43,Rabi,Pulses,Sandy,685.6,37.2,74.8,142.1,7.6,Canal,Rice,High,0.97
Tamil Nadu,District_11,Zaid,Maize,Black,1689.3,16.8,49.5,207.6,5.5,Sprinkler,Sugarcane,Low,2.65
Meghalaya,District_6,Kharif,Cotton,Loamy,1300.6,33.5,81.4,66.9,5.4,Tubewell,Pulses,Low,2.13
Manipur,District_23,Zaid,Maize,Black,2263.1,17.0,93.9,92.7,6.4,Drip,Pulses,Medium,2.32
Punjab,District_17,Kharif,Rice,Alluvial,897.7,27.9,85.9,260.8,5.7,Rainfed,Cotton,Low,3.77
Odisha,District_23,Rabi,Wheat,Red,1122.5,33.2,72.7,183.6,5.3,Drip,Maize,Medium,2.94
Maharashtra,District_45,Zaid,Pulses,Loamy,2404.0,22.9,76.1,216.1,6.3,Drip,Pulses,Low,1.3
Uttar Pradesh,District_46,Rabi,Wheat,Loamy,1641.1,27.9,55.6,249.3,7.1,Sprinkler,Sugarcane,Medium,4.23
Punjab,District_38,Kharif,Cotton,Loamy,1944.5,27.4,79.1,308.7,7.5,Drip,Pulses,Low,2.15
Manipur,District_39,Kharif,Rice,Loamy,1234.1,34.9,71.0,110.6,7.4,Rainfed,Pulses,Low,4.39
Tamil Nadu,District_49,Zaid,Maize,Black,1223.9,37.0,65.1,237.8,6.9,Drip,Rice,High,2.18
Karnataka,District_18,Rabi,Wheat,Black,1056.2,18.7,70.7,142.0,7.4,Tubewell,Sugarcane,Medium,3.11
Meghalaya,District_2,Kharif,Cotton,Red,1605.9,17.1,52.3,84.5,6.6,Tubewell,Pulses,Low,2.44
Maharashtra,District_3,Rabi,Pulses,Black,1499.7,26.6,49.9,177.9,5.3,Canal,Sugarcane,Low,1.27
Tamil Nadu,District_15,Kharif,Cotton,Black,1450.4,16.2,77.3,202.7,7.1,Rainfed,Maize,High,2.12
West Bengal,District_7,Kharif,Rice,Black,740.8,33.6,78.9,,7.3,Rainfed,Maize,Medium,3.47
Assam,District_37,Kharif,Maize,Black,1768.9,22.2,87.2,122.4,,Drip,Cotton,Medium,2.5
Tamil Nadu,District_33,Rabi,Wheat,Red,,22.1,77.4,185.3,6.8,Sprinkler,Maize,Medium,2.73
Haryana,District_7,Zaid,Maize,Loamy,1119.6,17.3,57.1,282.6,6.5,Sprinkler,Maize,Low,2.74
Odisha,District_49,Zaid,Maize,Black,558.9,27.7,55.5,115.5,6.8,Sprinkler,Sugarcane,Low,2.21
Rajasthan,District_29,Kharif,Maize,Loamy,507.5,28.6,64.1,121.8,5.7,Sprinkler,Wheat,Medium,1.86
Uttar Pradesh,District_24,Zaid,Pulses,Alluvial,567.5,20.4,85.6,,5.8,Tubewell,Wheat,Low,1.3
Tamil Nadu,District_21,Zaid,Pulses,Alluvial,1282.9,19.4,75.4,237.4,5.7,Drip,Pulses,Low,1.14
Manipur,District_23,Zaid,Pulses,Loamy,2099.3,27.2,59.9,122.8,7.0,Canal,Rice,High,1.2
Assam,District_17,Kharif,Rice,Red,2909.9,15.8,72.6,102.3,5.3,Tubewell,Rice,Medium,3.16
Meghalaya,District_22,Kharif,Rice,Loamy,1140.9,17.1,45.8,64.8,7.5,Rainfed,Cotton,Medium,2.34
Punjab,District_15,Kharif,Rice,Sandy,1074.8,16.4,62.2,299.9,6.0,Rainfed,Cotton,Medium,2.71
Manipur,District_4,Zaid,Maize,Black,1093.2,23.8,55.0,111.4,5.7,Canal,Pulses,Low,2.8
Assam,District_13,Kharif,Rice,Red,667.3,30.5,73.2,94.2,6.6,Canal,Pulses,Low,2.97
Odisha,District_7,Rabi,Wheat,Red,577.4,28.0,62.9,90.7,6.4,Rainfed,Rice,Low,3.14
Odisha,District_5,Kharif,Cotton,Black,1531.1,34.1,61.4,129.4,7.4,Rainfed,Sugarcane,Low,2.3
Manipur,District_35,Rabi,Wheat,Red,2115.4,19.4,91.1,134.3,6.5,Drip,Maize,High,2.93
Uttar Pradesh,District_29,Kharif,Rice,Black,1020.8,27.5,58.4,157.8,7.3,Tubewell,Rice,Low,3.01
Manipur,District_50,Kharif,Rice,Loamy,1656.3,24.9,47.0,137.6,,Drip,Cotton,High,3.29
Tamil Nadu,District_41,Zaid,Pulses,Black,583.1,25.9,51.6,130.1,6.7,Canal,Maize,Low,1.15
Meghalaya,District_15,Kharif,Rice,Sandy,881.0,22.8,79.4,98.4,7.1,Rainfed,Maize,High,3.08
Haryana,District_38,Zaid,Maize,Alluvial,2423.75,26.3,88.8,392.22,7.2,Canal,Sugarcane,Low,2.66
Tamil Nadu,District_47,Rabi,Pulses,Black,720.0,36.1,60.3,232.9,6.8,Drip,Sugarcane,Low,1.28
Maharashtra,District_24,Zaid,Pulses,Black,1283.7,24.9,90.2,255.8,6.3,Drip,Rice,High,1.27
Uttar Pradesh,District_42,Kharif,Cotton,Alluvial,1021.7,19.5,53.4,197.5,,Drip,Pulses,High,1.49
Manipur,District_12,Zaid,Maize,Alluvial,814.3,27.2,72.0,137.0,7.0,Drip,Maize,Medium,2.17
Odisha,District_7,Kharif,Rice,Loamy,2518.8,24.2,61.5,166.7,,Drip,Cotton,Low,3.5
Gujarat,District_45,Rabi,Pulses,Black,1108.6,36.5,89.8,190.6,5.6,Tubewell,Rice,Medium,1.02
Rajasthan,District_7,Rabi,Pulses,Loamy,74.6,22.4,59.3,,7.4,Tubewell,Wheat,Low,1.01
Haryana,District_42,Rabi,Wheat,Black,1027.9,25.9,87.2,253.6,5.7,Drip,Cotton,High,2.49
Punjab,District_23,Rabi,Wheat,Alluvial,795.8,33.0,75.2,289.8,6.6,Tubewell,Pulses,Low,3.35
Maharashtra,District_45,Rabi,Pulses,Sandy,2278.7,24.5,61.8,148.1,5.7,Tubewell,Maize,High,0.99
Meghalaya,District_22,Kharif,Rice,Red,1463.9,33.8,91.8,125.5,7.3,Sprinkler,Maize,Low,4.07
Haryana,District_24,Rabi,Pulses,Loamy,609.1,21.4,63.7,219.4,5.8,Rainfed,Maize,Low,1.16
Haryana,District_41,Kharif,Maize,Sandy,,21.1,72.3,216.0,5.7,Drip,Pulses,Low,2.58
Punjab,District_21,Rabi,Wheat,Black,1334.6,24.6,70.2,191.1,6.6,Tubewell,Maize,Low,3.17
Punjab,District_12,Zaid,Pulses,Loamy,748.2,35.7,94.6,199.5,7.0,Drip,Cotton,Medium,1.3
Assam,District_10,Kharif,Rice,Loamy,1011.0,21.1,69.8,87.0,6.2,Sprinkler,Rice,Low,3.71
Karnataka,District_43,Rabi,Wheat,Loamy,1634.5,22.8,65.7,123.8,6.6,Drip,Maize,High,2.8
Punjab,District_19,Rabi,Wheat,Black,1268.5,33.8,67.9,280.4,5.6,Canal,Cotton,Medium,2.97
Meghalaya,District_37,Rabi,Wheat,Red,1186.6,16.7,82.0,97.6,5.8,Tubewell,Wheat,Low,2.72
Haryana,District_25,Zaid,Maize,Sandy,908.9,23.3,57.2,248.1,7.7,Drip,Pulses,Medium,2.22
Assam,District_29,Kharif,Rice,Black,1373.8,32.0,48.3,61.1,7.0,Rainfed,Wheat,Low,3.55
Tamil Nadu,District_43,Kharif,Rice,Black,606.2,27.8,67.0,207.0,6.8,Drip,Maize,Low,4.16
West Bengal,District_47,Kharif,Rice,Sandy,1453.4,32.7,80.3,199.9,5.9,Tubewell,Wheat,High,3.35
Manipur,District_15,Zaid,Pulses,Sandy,965.9,33.1,79.6,87.4,5.8,Drip,Rice,High,1.02
Uttar Pradesh,District_11,Rabi,Wheat,sandy,1013.7,27.1,92.7,235.5,5.4,Rainfed,Sugarcane,Low,3.18
Haryana,District_23,Zaid,Maize,Sandy,1034.0,15.8,93.4,218.9,7.5,Sprinkler,Wheat,Low,2.88
Meghalaya,District_39,Zaid,Maize,Loamy,1357.2,26.1,68.6,110.4,5.8,Rainfed,Sugarcane,Medium,2.63
Odisha,District_35,Rabi,Wheat,Alluvial,1153.3,32.6,77.9,182.2,5.2,Rainfed,Pulses,Medium,3.02
Maharashtra,District_40,Zaid,Maize,Loamy,854.1,22.8,59.1,155.4,6.5,Tubewell,Cotton,Low,2.51
Uttar Pradesh,District_40,Kharif,Maize,Sandy,1270.7,34.2,88.6,255.7,5.7,Canal,Sugarcane,Medium,2.9
Meghalaya,District_47,Zaid,Pulses,Sandy,476.0,35.3,92.3,82.7,5.6,Sprinkler,Wheat,High,0.95
Assam,District_12,Zaid,Maize,Black,1157.1,23.8,89.4,74.7,6.6,Rainfed,Maize,High,1.88
Assam,District_49,Zaid,Maize,Loamy,1264.9,26.6,71.2,96.6,6.9,Tubewell,Rice,Medium,2.5
Uttar Pradesh,District_23,Zaid,Pulses,Alluvial,2824.2,22.7,56.0,254.0,5.6,Sprinkler,Sugarcane,Low,1.36
Tamil Nadu,District_45,Zaid,Pulses,Sandy,1103.9,31.0,76.6,232.8,6.6,Tubewell,Maize,Medium,1.25
Tamil Nadu,District_2,Kharif,Rice,Alluvial,802.2,15.3,57.5,188.2,7.3,Drip,Rice,Medium,3.7
Uttar Pradesh,District_8,Zaid,Pulses,Sandy,769.3,26.0,94.3,267.8,6.1,Drip,Wheat,Low,1.1
Maharashtra,District_20,Kharif,Cotton,Sandy,3163.2,17.8,64.8,120.6,5.8,Tubewell,Pulses,Medium,1.73
Haryana,District_46,Kharif,Maize,Alluvial,411.6,17.6,53.9,217.5,5.8,Drip,Sugarcane,Low,2.66
Rajasthan,District_22,Rabi,Pulses,Sandy,192.6,17.1,94.4,163.5,7.5,Drip,Rice,Low,1.01
Odisha,District_5,Rabi,Wheat,Loamy,1461.9,33.9,93.5,166.0,7.2,Canal,Sugarcane,Low,3.97
Assam,District_41,Zaid,Pulses,Sandy,854.8,24.3,83.0,66.5,6.9,Sprinkler,Maize,High,1.02
Rajasthan,District_37,Zaid,Pulses,Loamy,546.4,15.5,77.9,149.1,5.6,Rainfed,Wheat,Low,1.31
Meghalaya,District_18,Zaid,Pulses,Red,1272.7,34.6,70.9,97.9,5.5,Sprinkler,Wheat,Medium,1.2
Haryana,District_28,Kharif,Maize,Loamy,963.5,30.6,86.4,283.4,6.7,Drip,Sugarcane,Low,2.77
Assam,District_18,Kharif,Rice,Alluvial,1055.9,20.5,86.4,122.4,6.1,Rainfed,Pulses,High,3.28
West Bengal,District_48,Rabi,Pulses,Sandy,408.4,36.8,92.7,180.4,7.4,Sprinkler,Cotton,Medium,1.22
Odisha,District_18,Kharif,Rice,Loamy,1211.9,32.6,57.4,178.5,5.7,Tubewell,Rice,High,3.27
Gujarat,District_32,Rabi,Pulses,Loamy,1088.2,24.3,91.2,240.1,7.2,Canal,Pulses,High,1.11
Odisha,District_33,Rabi,Pulses,Alluvial,1240.5,31.5,72.6,115.2,5.4,Drip,Maize,High,1.07
Manipur,District_31,Kharif,Rice,Black,1389.1,34.8,72.6,93.0,7.2,Canal,Wheat,Medium,3.89
Tamil Nadu,District_44,Rabi,Wheat,Sandy,1637.9,27.5,67.4,203.5,7.3,Sprinkler,Sugarcane,Low,3.81
Odisha,District_28,Zaid,Pulses,Loamy,1505.1,30.6,48.7,150.3,5.6,Drip,Cotton,Low,1.3
Tamil Nadu,District_16,Kharif,Rice,Red,2079.9,20.7,69.0,218.9,6.9,Rainfed,Pulses,High,3.38
Odisha,District_6,Zaid,Maize,Alluvial,1250.2,33.4,89.7,176.6,5.9,Canal,Cotton,Low,3.31
Uttar Pradesh,District_19,Kharif,Rice,Alluvial,2117.0,25.9,70.5,196.3,6.4,Rainfed,Maize,Low,4.09
West Bengal,District_7,Kharif,Rice,Alluvial,2353.1,20.0,92.5,100.4,6.0,Sprinkler,Wheat,Low,3.6
Odisha,District_32,Rabi,Wheat,Alluvial,2659.7,23.6,56.2,135.1,5.8,Tubewell,Maize,High,2.34
Maharashtra,District_19,Kharif,Cotton,Black,2606.9,17.8,52.1,,5.6,Canal,Rice,Medium,1.82
Odisha,District_49,Rabi,Pulses,Black,1910.0,27.9,69.0,157.1,7.4,Canal,Maize,Low,1.37
Rajasthan,District_45,Zaid,Pulses,Loamy,327.3,18.2,66.7,98.9,6.1,Tubewell,Sugarcane,High,1.13
Odisha,District_39,Rabi,Wheat,Sandy,937.7,21.7,63.2,180.8,7.1,Sprinkler,Pulses,High,2.86
Maharashtra,District_13,Rabi,Wheat,Alluvial,911.3,31.1,95.0,240.2,5.4,Drip,Cotton,Medium,3.07
Odisha,District_33,Kharif,Rice,Loamy,1350.3,25.3,76.5,139.5,,Canal,Rice,Low,4.05
Karnataka,District_21,Kharif,Rice,Red,1465.6,33.5,88.7,140.9,7.3,Drip,Cotton,High,2.6
Odisha,District_50,Zaid,Maize,Red,1334.7,33.5,80.3,162.9,6.1,Drip,Rice,Low,3.09
Haryana,District_46,Kharif,Rice,Red,809.6,20.0,92.4,286.1,5.8,Canal,Maize,Low,4.1
Meghalaya,District_31,Kharif,Rice,black,687.0,22.5,63.4,132.9,5.9,Sprinkler,Maize,Medium,3.51
Tamil Nadu,District_18,Rabi,Pulses,Alluvial,520.7,31.6,90.2,126.0,5.8,Tubewell,Sugarcane,Low,1.18
Haryana,District_39,Zaid,Maize,Black,1369.2,25.1,62.9,239.8,7.1,Tubewell,Cotton,Low,2.66
West Bengal,District_9,Rabi,Wheat,Loamy,787.1,30.3,51.5,178.8,5.7,Canal,Pulses,Low,3.24
Karnataka,District_17,Zaid,Pulses,Alluvial,513.7,26.0,60.1,237.1,6.0,Rainfed,Sugarcane,Low,1.29
Uttar Pradesh,District_10,Zaid,Maize,Alluvial,3895.25,15.2,60.6,348.3,7.7,Sprinkler,Cotton,Low,2.52
Uttar Pradesh,District_35,Rabi,Wheat,Red,1485.3,24.9,74.7,210.7,6.0,Rainfed,Sugarcane,Medium,3.07
Meghalaya,District_38,Rabi,Pulses,Black,1207.4,35.6,69.1,139.5,5.9,Drip,Rice,High,1.01
Tamil Nadu,District_23,Zaid,Pulses,Loamy,565.8,17.2,55.5,168.9,7.1,Sprinkler,Maize,Low,1.32
Tamil Nadu,District_22,Rabi,Pulses,Red,608.5,19.4,73.0,173.3,6.0,Rainfed,Maize,Low,1.31
Haryana,District_37,Kharif,Cotton,Sandy,1813.9,36.9,57.6,296.0,6.1,Drip,Maize,Low,2.74
Haryana,District_42,Rabi,Pulses,Black,1441.7,27.7,71.2,229.5,6.2,Tubewell,Wheat,Low,1.17
Meghalaya,District_4,Kharif,Rice,Sandy,2931.3,16.9,46.3,89.2,7.3,Drip,Sugarcane,High,3.19
Tamil Nadu,District_4,Rabi,Wheat,Alluvial,1128.6,22.1,89.3,226.2,6.8,Canal,Pulses,High,2.86
Odisha,District_45,Zaid,Pulses,Alluvial,1353.0,21.7,52.6,135.5,5.6,Sprinkler,Cotton,Low,1.24
Manipur,District_8,Kharif,Rice,Red,907.2,20.8,46.3,139.3,5.8,Drip,Cotton,High,2.74
Meghalaya,District_30,Kharif,Cotton,Loamy,2378.5,36.8,52.4,111.7,5.8,Tubewell,Wheat,High,1.89
Haryana,District_32,Kharif,Maize,Black,373.9,31.9,93.0,,6.1,Tubewell,Rice,Low,2.73
Assam,District_28,Rabi,Pulses,Sandy,264.1,25.7,74.6,84.6,7.6,Sprinkler,Maize,Medium,0.89
Karnataka,District_33,Zaid,Maize,Black,1879.1,30.3,54.0,191.1,6.1,Sprinkler,Rice,Medium,2.64
Haryana,District_29,Rabi,Wheat,Loamy,1119.6,20.5,47.4,223.3,7.2,Drip,Wheat,Medium,2.9
Rajasthan,District_7,Zaid,Pulses,Red,191.5,23.8,61.6,168.0,6.1,Tubewell,Rice,Low,1.28
Tamil Nadu,District_16,Zaid,Pulses,Black,1741.3,18.8,65.7,238.7,5.4,Canal,Rice,Low,1.19
Rajasthan,District_14,Zaid,Pulses,Black,148.8,29.2,88.4,86.3,6.2,Drip,Sugarcane,Medium,1.09
Gujarat,District_7,Rabi,Pulses,Loamy,941.9,28.6,86.8,183.7,7.7,Sprinkler,Wheat,Medium,1.03
Maharashtra,District_1,Zaid,Maize,Black,1448.3,27.2,49.1,226.8,5.7,Tubewell,Cotton,High,2.56
Punjab,District_14,Kharif,Cotton,Black,836.0,36.4,58.7,186.4,7.7,Drip,Wheat,Low,1.74
Manipur,District_2,Rabi,Pulses,Red,1083.1,26.5,58.3,124.5,6.7,Canal,Cotton,Low,1.38
Punjab,District_29,Rabi,Pulses,Loamy,589.7,34.4,84.7,260.9,7.5,Sprinkler,Wheat,Low,1.22
Odisha,District_14,Rabi,Wheat,Alluvial,1384.3,23.8,56.5,106.1,7.5,Tubewell,Sugarcane,Low,3.92
Punjab,District_18,Zaid,Maize,Alluvial,1619.3,21.0,55.9,260.2,5.9,Drip,Cotton,Low,2.83
Meghalaya,District_42,Kharif,Rice,Alluvial,2037.7,29.5,88.3,104.7,6.5,Tubewell,Cotton,Low,3.69
West Bengal,District_24,Rabi,Pulses,Sandy,1131.2,25.7,65.8,102.3,7.1,Tubewell,Rice,Low,1.27
Haryana,District_33,Zaid,Pulses,Alluvial,961.0,32.4,55.9,276.8,7.4,Canal,Maize,Medium,1.15
Uttar Pradesh,District_15,Rabi,Wheat,Red,519.7,23.6,77.9,247.8,5.3,Drip,Rice,Low,2.7
Punjab,District_21,Rabi,Wheat,Alluvial,1219.3,31.7,88.3,291.7,5.5,Sprinkler,Rice,Low,3.05
Punjab,District_46,Kharif,Rice,Black,874.9,17.0,74.2,246.2,7.0,Rainfed,Maize,Low,3.74
Gujarat,District_37,Kharif,Cotton,Alluvial,1053.9,32.3,70.1,170.7,5.4,Sprinkler,Maize,Low,1.56
West Bengal,District_38,Zaid,Maize,Black,618.7,21.7,83.3,131.4,5.8,Canal,Pulses,Low,2.36
Odisha,District_6,Zaid,Pulses,Black,1051.6,33.0,70.7,150.4,6.8,Canal,Wheat,High,1.16
Assam,District_14,Zaid,Pulses,Loamy,2248.2,17.3,60.4,146.9,7.2,Sprinkler,Cotton,Low,1.35
Rajasthan,District_29,Kharif,Cotton,Black,86.4,27.8,92.8,98.2,7.5,Rainfed,Sugarcane,Low,2.04
Meghalaya,District_30,Zaid,Pulses,red,1573.2,18.7,71.9,,6.7,Canal,Wheat,Low,1.55
Manipur,District_9,Kharif,Maize,Alluvial,1207.9,35.9,49.7,93.8,6.1,Rainfed,Sugarcane,Medium,2.82
Assam,District_24,Zaid,Pulses,Black,1004.9,36.7,91.8,135.9,5.9,Sprinkler,Sugarcane,Low,1.48
Odisha,District_39,Kharif,Maize,Black,1124.1,35.5,74.8,192.0,6.1,Tubewell,Cotton,Medium,2.12
Manipur,District_14,Kharif,Rice,Red,733.5,33.9,84.9,115.9,6.7,Rainfed,Pulses,Medium,3.72
Karnataka,District_2,Kharif,Rice,Black,440.4,20.7,57.5,243.9,6.4,Canal,Maize,High,3.27
West Bengal,District_42,Kharif,Rice,Red,876.8,31.3,49.8,100.8,5.6,Tubewell,Cotton,Medium,3.49
Haryana,District_12,Zaid,Pulses,Alluvial,1387.5,26.6,74.5,234.9,5.4,Canal,Sugarcane,Low,1.22
Odisha,District_11,Zaid,Maize,Loamy,1134.5,31.2,92.9,131.6,6.8,Tubewell,Maize,Medium,2.58
Maharashtra,District_50,Kharif,Cotton,Alluvial,735.9,15.8,66.8,155.1,6.5,Rainfed,Pulses,High,1.78
Assam,District_41,Zaid,Maize,Black,1922.0,23.1,81.6,135.3,6.6,Tubewell,Rice,Medium,2.72
Punjab,District_8,Kharif,Maize,Loamy,359.6,15.2,87.6,193.5,5.5,Rainfed,Rice,Low,2.54
Odisha,District_49,Rabi,Wheat,Red,1506.4,29.3,93.9,189.2,5.4,Canal,Rice,High,3.1
Maharashtra,District_27,Rabi,Wheat,Sandy,1059.8,30.5,74.7,244.3,7.3,Tubewell,Wheat,High,2.94
Uttar Pradesh,District_42,Rabi,Wheat,Sandy,1088.8,34.0,84.9,194.6,6.8,Drip,Rice,High,2.62
Rajasthan,District_40,Rabi,Pulses,Alluvial,106.6,24.6,74.4,,6.1,Rainfed,Rice,High,0.91
Tamil Nadu,District_2,Zaid,Pulses,Alluvial,1223.0,36.6,66.8,163.0,5.4,Tubewell,Pulses,Low,1.2
Rajasthan,District_31,Zaid,Pulses,Red,25.4,23.5,63.5,99.9,7.3,Rainfed,Pulses,Low,1.08
Maharashtra,District_8,Rabi,Wheat,Red,2261.6,15.5,74.1,240.8,7.5,Tubewell,Wheat,Low,3.72
Maharashtra,District_38,Zaid,Pulses,Alluvial,667.3,28.8,53.8,128.3,7.1,Drip,Sugarcane,Low,1.38
Maharashtra,District_43,Zaid,Pulses,Alluvial,1796.0,17.6,77.0,196.2,7.4,Sprinkler,Rice,Medium,1.24
Haryana,District_21,Rabi,Pulses,Loamy,1555.4,37.0,46.6,265.0,6.7,Sprinkler,Rice,High,1.2
Maharashtra,District_26,Zaid,Maize,Red,495.5,21.4,83.5,157.4,7.0,Sprinkler,Sugarcane,Low,2.49
Haryana,District_31,Rabi,Wheat,Sandy,2737.6,37.8,71.1,309.2,5.3,Sprinkler,Wheat,High,1.97
Manipur,District_15,Kharif,Rice,Red,1432.8,25.6,55.0,71.2,7.2,Tubewell,Maize,Low,4.16
Punjab,District_11,Rabi,Pulses,Loamy,1174.7,20.3,84.8,250.1,6.8,Drip,Rice,Medium,1.2
Assam,District_2,Kharif,Rice,Red,743.7,21.1,68.1,69.8,5.7,Rainfed,Pulses,High,2.53
Maharashtra,District_24,Rabi,Wheat,Black,817.8,21.2,90.2,185.5,5.8,Sprinkler,Pulses,High,2.56
Haryana,District_24,Kharif,Maize,sandy,,15.7,57.0,,6.1,Drip,Wheat,Low,2.83
Assam,District_7,Zaid,Pulses,Sandy,572.1,19.9,75.6,88.7,5.6,Sprinkler,Sugarcane,Low,1.12
Meghalaya,District_48,Rabi,Pulses,Sandy,789.0,29.2,75.0,123.9,6.7,Drip,Rice,Medium,1.07
Rajasthan,District_47,Kharif,Cotton,Red,1064.8,22.8,45.9,114.7,7.5,Tubewell,Cotton,High,1.48
Haryana,District_37,Kharif,Rice,Alluvial,776.4,28.6,60.7,190.3,5.5,Sprinkler,Sugarcane,Medium,2.89
Tamil Nadu,District_43,Zaid,Maize,Red,1184.5,32.5,52.1,163.1,7.3,Rainfed,Wheat,Medium,1.88
Rajasthan,District_34,Rabi,Pulses,Sandy,504.5,32.5,55.7,92.0,7.3,Sprinkler,Wheat,Low,1.22
Assam,District_13,Rabi,Pulses,Loamy,1241.6,16.9,86.7,153.1,,Tubewell,Pulses,Low,1.48
Gujarat,District_47,Kharif,Cotton,Sandy,301.4,20.7,87.5,168.7,6.9,Canal,Rice,Low,1.74
Assam,District_32,Rabi,Pulses,Red,793.6,30.3,74.8,89.4,6.4,Sprinkler,Wheat,Medium,1.02
Maharashtra,District_37,Zaid,Maize,Black,1236.2,19.7,78.7,183.0,6.1,Rainfed,Rice,Low,3.07
Maharashtra,District_46,Zaid,Pulses,Loamy,1461.0,19.4,61.8,124.4,6.5,Tubewell,Sugarcane,Medium,1.35
Meghalaya,District_50,Rabi,Wheat,Red,1358.5,19.3,70.7,98.9,6.7,Tubewell,Sugarcane,High,2.82
Punjab,District_26,Zaid,Maize,Alluvial,827.3,20.3,88.7,289.3,6.4,Sprinkler,Cotton,Low,2.86
Uttar Pradesh,District_4,Rabi,Wheat,Alluvial,865.7,28.6,78.8,196.1,,Tubewell,Maize,Low,3.53
Punjab,District_19,Kharif,Cotton,Loamy,839.0,26.7,87.0,230.5,6.7,Drip,Rice,Medium,1.82
Maharashtra,District_10,Kharif,Cotton,Alluvial,412.7,31.6,90.7,158.2,7.2,Sprinkler,Pulses,Low,1.85
West Bengal,District_45,Rabi,Wheat,Loamy,378.8,25.5,83.2,187.1,,Rainfed,Cotton,Low,3.43
Tamil Nadu,District_13,Zaid,Maize,Red,1442.7,15.5,76.6,135.9,5.3,Sprinkler,Cotton,Medium,2.54
Manipur,District_36,Zaid,Pulses,Red,2122.2,17.1,46.2,123.5,6.6,Rainfed,Maize,Low,1.42
Maharashtra,District_33,Kharif,Rice,Alluvial,1295.5,26.2,75.3,215.0,6.7,Drip,Pulses,Medium,4.76
Assam,District_2,Zaid,Pulses,Loamy,1823.8,33.5,93.7,118.2,6.8,Tubewell,Wheat,Medium,1.35
West Bengal,District_16,Kharif,Maize,Loamy,774.5,19.6,57.3,201.1,6.4,Sprinkler,Pulses,Low,2.89
Manipur,District_28,Zaid,Maize,Alluvial,1425.9,25.8,86.8,,5.8,Drip,Pulses,Low,2.5
Rajasthan,District_31,Rabi,Wheat,Black,639.3,32.9,80.9,93.3,7.5,Tubewell,Pulses,Low,2.75
Maharashtra,District_15,Rabi,Pulses,Black,1562.2,16.2,53.1,180.8,6.7,Sprinkler,Cotton,Low,1.09
Manipur,District_1,Rabi,Wheat,Loamy,673.6,33.3,79.8,126.6,5.6,Tubewell,Maize,Low,3.48
Rajasthan,District_22,Kharif,Maize,Black,483.0,26.0,83.8,148.3,6.9,Sprinkler,Maize,Medium,2.47
Karnataka,District_27,Kharif,Rice,Black,559.7,23.9,67.8,160.5,6.9,Rainfed,Sugarcane,High,2.95
Haryana,District_1,Kharif,Rice,Black,1407.5,27.7,59.4,,7.6,Canal,Pulses,Medium,3.09
Manipur,District_43,Kharif,Cotton,Alluvial,851.2,32.1,49.4,91.2,6.0,Drip,Sugarcane,High,1.6
Tamil Nadu,District_34,Kharif,Rice,Sandy,1256.5,34.3,91.1,118.9,6.2,Tubewell,Pulses,Low,4.26
West Bengal,District_44,Zaid,Pulses,Alluvial,918.6,17.7,88.3,160.2,7.5,Drip,Cotton,Medium,1.19
Uttar Pradesh,District_11,Kharif,Cotton,Alluvial,2059.9,23.1,87.7,262.3,6.1,Drip,Pulses,Medium,1.69
Odisha,District_46,Rabi,Wheat,Alluvial,378.5,36.4,64.9,121.0,5.5,Tubewell,Pulses,Low,2.64
Haryana,District_24,Kharif,Cotton,Alluvial,651.1,19.4,80.1,288.0,7.0,Sprinkler,Sugarcane,Medium,1.86
Maharashtra,District_48,Zaid,Maize,Black,1182.8,29.2,59.8,259.3,7.2,Drip,Sugarcane,Low,2.86
Meghalaya,District_36,Rabi,Pulses,Alluvial,1352.2,31.2,80.8,133.6,6.5,Tubewell,Wheat,Low,1.32
Manipur,District_31,Kharif,Rice,Black,810.4,25.3,80.7,106.4,7.7,Sprinkler,Rice,Low,3.52
Haryana,District_17,Kharif,Maize,Loamy,1390.3,29.8,61.9,195.2,6.4,Sprinkler,Sugarcane,Low,2.99
Manipur,District_15,Zaid,Pulses,black,915.8,25.6,77.3,117.4,7.1,Rainfed,Rice,Low,1.34
Gujarat,District_9,Zaid,Pulses,Alluvial,,16.5,87.6,238.6,7.0,Sprinkler,Rice,Medium,1.3
Manipur,District_19,Rabi,Wheat,Black,1024.7,21.1,60.3,100.3,5.3,Sprinkler,Wheat,High,2.29
