State,District,Season,Crop,Soil_Type,Rainfall_mm,Avg_Temperature_C,Humidity_percent,Fertilizer_kg_per_hectare,Soil_pH,Irrigation_Type,Previous_Crop,Pest_Risk,Soil_N,Soil_P,Soil_K,Irrigation_Frequency,Yield_tonnes_per_hectare
Maharashtra,District_18,Zaid,Rice,Red,1321.7,28.2,59.1,278.9,6.5,Sprinkler,Cotton,Low,76.2,62.7,42.0,1,3.92
Meghalaya,District_37,Kharif,Rice,Loamy,1518.8,28.9,46.3,78.7,7.0,Tubewell,Rice,Low,155.0,91.2,40.4,7,4.39
Gujarat,District_31,Rabi,Cotton,Red,959.1,26.9,47.5,238.2,6.0,Drip,Rice,Low,139.7,20.4,71.0,8,2.43
Uttar Pradesh,District_1,Zaid,Wheat,Black,2272.8,16.7,94.4,229.9,7.1,Rainfed,Pulses,High,119.8,63.8,149.3,7,3.12
Odisha,District_11,Rabi,Wheat,Loamy,1379.7,25.1,90.4,233.1,6.0,Drip,Cotton,High,100.3,56.4,43.5,5,3.62
Rajasthan,District_10,Rabi,Wheat,Black,2230.9,29.0,61.0,273.6,7.6,Canal,Sugarcane,High,143.7,24.9,91.3,8,2.74
Odisha,District_18,Zaid,Pulses,Black,1575.9,17.1,82.0,196.2,7.3,Sprinkler,Sugarcane,High,104.0,21.6,45.1,6,1.13
Tamil Nadu,District_33,Kharif,Cotton,Red,1129.2,18.4,65.3,266.9,5.8,Drip,Wheat,High,55.1,53.0,47.3,6,2.04
Gujarat,District_14,Zaid,Wheat,Sandy,1197.2,27.8,54.2,242.7,7.3,Rainfed,Pulses,Low,126.1,52.8,74.9,3,3.76
Gujarat,District_45,Zaid,Pulses,Alluvial,873.0,29.0,46.1,193.9,5.8,Rainfed,Rice,Low,81.0,40.0,50.9,6,1.43
Karnataka,District_43,Zaid,Wheat,Sandy,921.7,15.3,53.9,240.1,7.3,Drip,Wheat,Medium,140.1,95.9,97.4,9,3.35
Meghalaya,District_19,Zaid,Sugarcane,Red,1136.9,17.0,58.0,206.7,7.0,Sprinkler,Maize,Medium,182.8,67.2,71.9,7,70.84
Assam,District_38,Zaid,Wheat,Loamy,1734.3,19.4,76.4,108.1,6.0,Sprinkler,Wheat,Low,71.4,81.8,140.5,4,3.48
Odisha,District_46,Rabi,Pulses,Red,868.8,22.9,69.2,67.4,6.7,Tubewell,Sugarcane,Low,157.0,65.2,129.0,8,1.14
Haryana,District_43,Zaid,Sugarcane,Sandy,875.2,32.4,79.9,61.5,5.3,Drip,Cotton,Medium,154.2,42.3,46.4,7,53.32
Uttar Pradesh,District_15,Rabi,Wheat,Black,1490.9,26.0,70.4,280.0,5.3,Tubewell,Maize,Medium,196.4,98.2,143.9,2,3.01
Punjab,District_7,Zaid,Cotton,Black,680.3,18.5,59.9,82.7,7.4,Drip,Cotton,Low,95.9,72.3,72.6,8,1.75
West Bengal,District_17,Rabi,Wheat,Alluvial,721.1,22.7,59.5,257.4,6.6,Tubewell,Rice,Low,128.5,67.9,101.8,6,3.59
Odisha,District_45,Zaid,Cotton,Black,2903.0,33.8,43.2,168.9,7.0,Rainfed,Wheat,Medium,101.7,92.8,123.1,4,2.12
Maharashtra,District_36,Rabi,Wheat,Black,1368.5,29.8,88.8,296.5,6.0,Drip,Wheat,High,63.3,77.9,47.7,9,3.03
West Bengal,District_19,Rabi,Wheat,Loamy,1500.5,37.5,52.8,96.0,6.0,Rainfed,Maize,Low,129.6,30.0,121.2,9,3.44
Odisha,District_42,Zaid,Maize,Alluvial,597.4,17.0,53.6,144.7,6.4,Rainfed,Wheat,High,119.6,90.8,89.5,9,2.32
Assam,District_7,Kharif,Maize,Alluvial,1692.5,23.2,46.2,245.8,5.9,Drip,Maize,Low,115.2,85.4,58.5,1,2.96
Assam,District_22,Rabi,Sugarcane,Red,1358.6,29.2,75.4,167.3,6.4,Drip,Pulses,High,137.2,41.0,42.3,6,57.27
Assam,District_46,Kharif,Wheat,Sandy,826.7,26.7,56.7,231.2,7.7,Rainfed,Wheat,High,160.5,92.7,52.4,7,3.01
Rajasthan,District_8,Rabi,Maize,Black,2284.0,28.2,61.2,247.7,7.7,Rainfed,Rice,High,138.4,37.6,101.8,1,2.56
Uttar Pradesh,District_18,Kharif,Sugarcane,Alluvial,1436.8,36.9,67.1,189.8,6.1,Drip,Pulses,Medium,148.8,67.7,59.7,3,71.11
Karnataka,District_12,Rabi,Wheat,Loamy,2294.0,33.8,41.9,166.6,6.8,Sprinkler,Sugarcane,Medium,93.7,74.7,135.4,4,3.51
Tamil Nadu,District_47,Kharif,Cotton,Red,310.4,26.5,40.2,250.8,7.2,Tubewell,Maize,Medium,160.3,68.2,72.5,6,2.02
West Bengal,District_32,Zaid,Pulses,Sandy,1185.1,28.8,85.0,174.3,6.0,Rainfed,Pulses,High,192.6,92.5,64.2,8,1.24
Karnataka,District_4,Rabi,Rice,Black,484.4,16.7,89.8,277.5,5.8,Drip,Maize,Low,55.6,47.7,144.7,8,3.21
Manipur,District_5,Rabi,Rice,Red,1245.0,26.4,90.7,238.0,7.5,Sprinkler,Wheat,High,160.0,56.9,141.1,1,3.68
Assam,District_16,Zaid,Cotton,Black,1119.7,31.4,52.6,75.1,7.1,Canal,Maize,High,92.4,64.0,97.6,3,1.99
Gujarat,District_48,Kharif,Sugarcane,Red,1338.7,23.4,94.1,202.6,7.2,Tubewell,Rice,Medium,117.8,29.5,146.0,9,66.34
Punjab,District_17,Zaid,Pulses,Alluvial,877.1,27.1,50.8,244.8,6.3,Drip,Maize,Low,113.5,38.7,137.7,7,1.33
West Bengal,District_44,Rabi,Pulses,Sandy,486.2,27.6,86.2,108.3,7.0,Drip,Wheat,High,107.9,95.4,49.1,9,1.09
Assam,District_5,Zaid,Wheat,Alluvial,1805.7,35.9,73.0,198.3,5.4,Rainfed,Pulses,High,191.2,76.6,95.2,3,3.16
Maharashtra,District_48,Rabi,Rice,Loamy,198.1,22.1,47.5,104.6,5.4,Sprinkler,Cotton,High,126.2,74.2,142.7,6,2.32
Haryana,District_41,Kharif,Pulses,Loamy,1713.9,23.2,88.6,184.3,6.0,Drip,Wheat,High,111.4,77.0,57.5,8,1.18
Meghalaya,District_10,Rabi,Cotton,Sandy,1462.1,20.7,44.8,99.4,6.7,Canal,Sugarcane,Low,131.9,95.3,145.3,7,2.33
Gujarat,District_22,Zaid,Sugarcane,Alluvial,1330.4,25.1,61.4,123.4,7.6,Canal,Cotton,Medium,175.2,34.2,67.8,2,56.44
Haryana,District_38,Rabi,Maize,Alluvial,958.0,33.0,53.5,67.6,5.9,Canal,Rice,Medium,147.3,96.3,83.5,4,2.49
Haryana,District_47,Rabi,Wheat,Alluvial,1109.9,21.3,79.7,148.7,5.9,Tubewell,Rice,Low,108.9,96.1,139.6,1,3.13
Maharashtra,District_12,Kharif,Rice,Red,1412.6,18.0,90.4,148.3,5.9,Drip,Wheat,Low,154.7,51.5,56.0,3,3.52
Tamil Nadu,District_15,Zaid,Sugarcane,Loamy,1150.3,21.0,86.9,118.8,5.7,Tubewell,Rice,High,157.3,25.2,44.5,3,49.2
Uttar Pradesh,District_17,Zaid,Rice,Loamy,994.8,23.5,49.7,95.1,7.4,Sprinkler,Sugarcane,Low,87.4,64.9,61.9,6,3.42
Assam,District_40,Rabi,Wheat,Alluvial,1890.9,22.9,85.4,250.7,7.6,Drip,Cotton,Medium,199.2,20.9,75.2,8,2.83
Karnataka,District_17,Zaid,Sugarcane,Loamy,1199.0,16.4,68.5,155.8,5.4,Tubewell,Rice,High,191.1,40.8,102.1,6,48.48
Punjab,District_18,Kharif,Pulses,Red,1637.6,32.1,90.8,243.4,5.2,Rainfed,Wheat,Low,148.9,36.8,106.6,8,1.31
Assam,District_32,Kharif,Cotton,Loamy,414.7,37.8,62.1,96.4,6.6,Tubewell,Wheat,Low,101.9,83.6,98.8,5,2.18
Meghalaya,District_23,Rabi,Sugarcane,Alluvial,1589.5,32.0,69.0,288.2,7.4,Sprinkler,Maize,High,148.4,23.0,71.7,3,57.91
Uttar Pradesh,District_39,Zaid,Sugarcane,Red,559.8,32.1,78.1,162.4,6.1,Sprinkler,Maize,High,67.9,56.3,62.6,3,48.92
Gujarat,District_28,Zaid,Maize,Loamy,218.7,25.6,66.1,93.4,6.6,Tubewell,Cotton,High,57.2,95.1,118.6,1,2.16
Meghalaya,District_15,Zaid,Sugarcane,Black,1056.9,37.7,69.7,285.9,6.2,Canal,Maize,High,90.8,43.1,110.0,1,55.92
Odisha,District_43,Rabi,Cotton,Sandy,762.1,17.3,48.7,247.9,5.3,Sprinkler,Pulses,Medium,57.4,60.6,58.8,9,2.04
Tamil Nadu,District_2,Rabi,Wheat,Loamy,777.2,15.4,63.4,117.0,5.9,Drip,Maize,Medium,92.9,44.6,42.2,2,2.69
Meghalaya,District_38,Kharif,Pulses,Alluvial,1095.7,32.5,41.8,243.7,6.3,Tubewell,Sugarcane,Medium,132.7,80.2,100.1,3,1.46
Assam,District_21,Zaid,Pulses,Sandy,409.6,20.8,93.5,117.5,7.2,Canal,Maize,Low,120.5,23.0,56.8,3,1.19
West Bengal,District_28,Kharif,Sugarcane,Black,839.2,27.9,42.7,201.2,5.4,Canal,Wheat,Medium,171.0,97.0,71.9,9,48.59
Tamil Nadu,District_41,Zaid,Maize,Loamy,818.2,32.0,78.4,196.8,7.7,Drip,Cotton,High,193.3,88.9,72.2,1,2.26
Meghalaya,District_23,Zaid,Rice,Loamy,828.4,33.4,57.5,256.0,7.2,Rainfed,Pulses,Low,103.3,22.4,41.0,5,3.69
Gujarat,District_6,Kharif,Cotton,Loamy,912.3,18.3,54.4,236.9,6.4,Tubewell,Rice,Medium,149.5,94.3,40.1,4,1.94
Punjab,District_25,Zaid,Rice,Red,1630.5,24.7,51.2,229.9,6.8,Tubewell,Pulses,Low,198.8,31.3,52.5,9,3.44
Uttar Pradesh,District_34,Rabi,Cotton,Red,352.0,35.7,42.0,198.3,5.7,Canal,Wheat,Low,86.3,21.9,44.1,1,2.08
Assam,District_33,Zaid,Maize,Red,1491.8,28.6,94.4,240.8,7.5,Rainfed,Sugarcane,Low,119.6,31.4,71.7,1,2.44
Rajasthan,District_16,Rabi,Wheat,Loamy,1133.2,36.6,47.4,132.6,5.9,Rainfed,Wheat,Medium,124.5,50.6,79.5,9,3.64
Manipur,District_50,Zaid,Maize,Black,105.1,27.4,43.2,207.9,6.8,Drip,Pulses,Medium,89.1,30.8,127.8,8,2.35
Karnataka,District_27,Kharif,Maize,Loamy,335.4,19.1,59.2,90.7,7.5,Rainfed,Maize,High,102.0,63.8,47.3,4,2.03
Gujarat,District_48,Rabi,Wheat,Red,888.7,26.0,69.7,149.9,5.7,Rainfed,Pulses,High,64.1,26.1,60.4,4,2.24
Meghalaya,District_11,Rabi,Wheat,Alluvial,997.5,22.6,41.3,102.7,7.6,Rainfed,Pulses,Low,135.8,88.3,45.6,8,2.58
Tamil Nadu,District_41,Rabi,Maize,Loamy,2481.9,34.7,64.8,286.1,6.0,Canal,Rice,High,179.9,71.1,127.9,4,2.74
Rajasthan,District_31,Rabi,Cotton,Black,1581.3,31.4,94.6,102.5,6.3,Sprinkler,Pulses,Low,74.8,32.3,109.6,2,2.12
Uttar Pradesh,District_49,Rabi,Sugarcane,Sandy,983.6,19.8,47.4,60.5,5.4,Drip,Maize,High,144.2,90.8,147.6,8,50.14
Uttar Pradesh,District_17,Zaid,Wheat,Loamy,1799.8,30.0,44.5,156.1,6.8,Sprinkler,Sugarcane,Medium,178.3,85.0,98.0,7,2.99
Karnataka,District_43,Kharif,Rice,Alluvial,1128.6,23.3,42.2,242.5,5.9,Sprinkler,Maize,Low,102.5,62.7,46.3,2,4.33
Assam,District_36,Rabi,Rice,Alluvial,1471.7,37.7,44.4,68.3,7.4,Rainfed,Rice,Low,172.9,77.0,133.6,1,4.03
Odisha,District_19,Zaid,Sugarcane,Alluvial,612.5,20.3,40.7,283.6,7.2,Tubewell,Cotton,Low,127.8,47.6,85.3,6,66.23
Karnataka,District_15,Rabi,Pulses,Loamy,1275.3,25.7,69.9,126.2,7.3,Sprinkler,Maize,Medium,99.3,71.5,83.0,8,1.14
Haryana,District_25,Kharif,Pulses,Sandy,1069.2,24.3,86.8,238.3,7.1,Tubewell,Maize,Medium,107.2,24.3,137.1,8,1.31
Uttar Pradesh,District_20,Rabi,Sugarcane,Loamy,517.7,20.5,61.2,240.1,5.7,Tubewell,Pulses,Low,155.3,34.3,124.0,6,68.31
Maharashtra,District_4,Kharif,Pulses,Alluvial,1060.8,26.6,93.1,157.8,6.8,Sprinkler,Maize,Medium,64.6,90.9,128.6,5,1.26
Uttar Pradesh,District_17,Rabi,Rice,Black,571.5,21.3,60.2,276.6,5.3,Drip,Rice,Low,63.2,94.3,69.8,5,2.91
Haryana,District_32,Zaid,Sugarcane,Loamy,484.6,15.8,93.7,240.7,7.6,Tubewell,Cotton,High,111.9,89.6,68.2,6,46.61
Uttar Pradesh,District_39,Kharif,Sugarcane,Loamy,463.5,33.8,60.9,232.3,5.9,Tubewell,Pulses,Medium,103.5,91.0,86.7,2,53.38
West Bengal,District_7,Zaid,Pulses,Alluvial,249.1,34.1,69.3,205.8,5.7,Sprinkler,Rice,Medium,87.8,47.2,91.2,4,0.98
Gujarat,District_13,Rabi,Rice,Alluvial,1197.0,22.6,62.5,133.1,6.0,Tubewell,Rice,Low,130.0,24.8,92.9,9,3.53
Tamil Nadu,District_34,Rabi,Maize,Red,984.6,32.4,91.1,266.1,7.1,Rainfed,Wheat,Low,145.5,39.3,113.8,8,2.87
Maharashtra,District_12,Rabi,Pulses,Alluvial,1606.7,31.6,69.3,111.8,5.2,Canal,Pulses,High,107.5,65.1,80.9,5,1.14
Karnataka,District_36,Kharif,Wheat,Black,1622.9,26.4,63.2,256.5,5.6,Sprinkler,Rice,Medium,149.6,21.7,40.8,2,2.95
Meghalaya,District_38,Zaid,Wheat,Alluvial,674.5,37.8,63.8,275.1,5.6,Tubewell,Cotton,Low,50.5,65.5,148.6,1,2.83
Gujarat,District_30,Zaid,Pulses,Loamy,531.2,33.1,52.9,231.0,5.8,Drip,Cotton,Medium,119.5,26.8,90.0,7,1.2
West Bengal,District_20,Rabi,Cotton,Loamy,299.8,21.3,82.2,247.8,6.5,Rainfed,Maize,Medium,107.4,71.0,101.4,2,2.25
Assam,District_17,Zaid,Maize,Alluvial,923.6,25.0,51.6,231.7,5.3,Sprinkler,Rice,Low,117.2,56.7,48.6,9,2.85
Karnataka,District_23,Zaid,Maize,Red,1406.0,30.4,43.0,84.8,6.7,Canal,Rice,Low,175.3,24.2,148.2,6,2.68
Punjab,District_37,Rabi,Wheat,Sandy,491.3,21.1,64.7,87.1,6.0,Rainfed,Maize,Low,60.6,59.3,72.6,8,3.12
West Bengal,District_47,Kharif,Wheat,Sandy,414.5,32.3,74.8,67.9,7.8,Tubewell,Wheat,High,146.4,36.6,132.5,9,2.25
Meghalaya,District_24,Kharif,Wheat,Alluvial,1275.1,33.6,70.5,87.9,7.5,Canal,Maize,Low,94.6,59.5,63.5,5,3.73
Rajasthan,District_2,Rabi,Sugarcane,Red,2052.7,22.1,52.8,102.0,7.4,Drip,Rice,High,141.6,60.7,67.5,1,57.76
Uttar Pradesh,District_9,Rabi,Cotton,Alluvial,269.2,20.6,94.2,260.8,7.3,Drip,Rice,Medium,112.9,94.9,46.9,3,2.1
Maharashtra,District_41,Rabi,Cotton,Alluvial,535.0,29.1,88.4,118.8,5.7,Canal,Pulses,Medium,76.0,48.8,111.4,1,1.69
Assam,District_11,Zaid,Maize,Loamy,1465.1,24.9,56.7,287.3,6.0,Canal,Cotton,Medium,137.1,20.7,132.0,8,2.87
Assam,District_9,Kharif,Sugarcane,Red,616.9,26.1,81.8,181.6,6.4,Drip,Pulses,High,120.4,49.0,120.6,8,58.6
Karnataka,District_38,Kharif,Cotton,Alluvial,661.0,24.9,81.8,252.0,7.5,Rainfed,Rice,Low,178.6,99.9,117.8,2,2.22
Maharashtra,District_23,Rabi,Sugarcane,Loamy,1779.6,35.9,63.2,217.4,7.6,Tubewell,Pulses,Low,131.3,44.7,84.3,8,77.35
Punjab,District_40,Kharif,Wheat,Red,2242.6,34.4,45.5,265.2,5.6,Tubewell,Cotton,High,90.9,97.7,55.9,2,2.79
Gujarat,District_12,Kharif,Rice,Red,597.0,16.3,62.9,86.9,7.1,Sprinkler,Maize,High,183.8,33.9,67.0,7,3.31
Tamil Nadu,District_43,Zaid,Sugarcane,Alluvial,2636.6,24.6,90.4,148.9,5.4,Sprinkler,Maize,High,108.0,44.5,89.1,4,55.36
Karnataka,District_47,Kharif,Maize,Loamy,712.1,29.1,89.8,146.7,5.5,Rainfed,Sugarcane,High,68.6,94.7,98.2,4,1.81
Karnataka,District_21,Zaid,Rice,Sandy,1967.7,24.0,72.0,294.5,7.7,Drip,Pulses,Medium,166.3,59.9,137.0,5,3.47
Assam,District_10,Rabi,Maize,Red,930.1,31.9,82.6,240.6,5.4,Tubewell,Sugarcane,Medium,142.4,54.0,74.5,2,2.27
Punjab,District_11,Rabi,Rice,Alluvial,571.5,33.7,93.5,266.5,6.0,Rainfed,Wheat,Medium,76.9,36.8,63.9,4,3.58
Meghalaya,District_24,Rabi,Sugarcane,Loamy,959.4,35.8,42.3,199.3,5.2,Rainfed,Maize,High,160.4,22.7,120.0,6,59.74
Gujarat,District_31,Kharif,Rice,Sandy,946.0,18.2,91.3,113.5,7.2,Drip,Sugarcane,High,162.2,45.7,62.5,7,3.31
Rajasthan,District_20,Kharif,Maize,Alluvial,1614.5,26.7,70.2,120.6,6.2,Drip,Cotton,High,171.0,22.4,101.3,8,2.24
Punjab,District_32,Zaid,Pulses,Black,540.8,34.5,87.9,96.7,7.5,Tubewell,Pulses,Medium,84.5,21.0,121.1,7,0.98
Odisha,District_45,Zaid,Rice,Black,1099.7,34.1,93.2,118.5,6.8,Canal,Rice,High,162.0,84.3,126.0,4,3.63
Manipur,District_31,Rabi,Pulses,Alluvial,505.7,34.4,64.1,273.6,7.0,Canal,Pulses,Medium,134.3,29.4,103.2,6,1.3
Gujarat,District_44,Rabi,Wheat,Loamy,690.9,25.9,42.6,182.8,6.5,Tubewell,Rice,Low,116.4,59.0,48.2,6,3.17
Maharashtra,District_48,Kharif,Rice,Red,992.4,35.0,74.0,62.3,5.2,Drip,Sugarcane,Low,158.7,87.6,67.8,9,3.04
Karnataka,District_18,Zaid,Wheat,Alluvial,1573.5,26.4,74.9,215.5,6.2,Rainfed,Cotton,Medium,70.0,34.2,79.5,1,3.24
Odisha,District_42,Rabi,Wheat,Red,1229.5,35.2,56.2,109.4,5.4,Tubewell,Pulses,Medium,108.9,25.4,94.7,1,2.55
Tamil Nadu,District_49,Zaid,Pulses,Black,676.9,26.9,61.0,208.0,6.6,Sprinkler,Cotton,Low,55.1,26.0,54.7,8,1.45
Gujarat,District_23,Zaid,Pulses,Red,594.4,33.6,53.2,247.9,5.7,Canal,Cotton,Low,156.5,83.9,133.9,5,1.08
Maharashtra,District_23,Zaid,Sugarcane,Alluvial,1880.3,18.4,85.9,158.7,6.7,Drip,Rice,Medium,187.8,30.9,101.3,6,63.02
Meghalaya,District_27,Rabi,Maize,Loamy,891.0,26.9,49.2,173.0,6.3,Canal,Cotton,High,79.6,86.6,87.4,4,2.5
Maharashtra,District_37,Zaid,Sugarcane,Red,1044.9,34.2,56.5,200.6,7.7,Tubewell,Cotton,Low,92.0,73.0,112.9,1,70.25
Meghalaya,District_41,Rabi,Wheat,Red,1591.3,31.6,81.5,229.6,7.0,Canal,Maize,Medium,199.5,78.9,144.0,4,3.3
Karnataka,District_27,Rabi,Maize,Alluvial,459.2,29.8,43.1,241.9,7.6,Canal,Rice,High,90.2,82.1,86.0,5,2.11
West Bengal,District_13,Zaid,Wheat,Red,1721.1,21.6,73.2,114.5,7.2,Tubewell,Wheat,Medium,151.3,99.3,104.3,4,2.87
Assam,District_24,Kharif,Maize,Sandy,1182.5,34.2,55.5,129.8,5.3,Drip,Sugarcane,Low,87.8,40.9,72.7,7,2.56
Maharashtra,District_10,Zaid,Rice,Black,1128.5,37.7,60.4,226.4,6.5,Drip,Sugarcane,Low,86.1,68.9,41.8,1,4.21
Gujarat,District_25,Rabi,Pulses,Sandy,657.4,22.7,45.5,200.9,6.6,Sprinkler,Cotton,High,166.0,96.4,73.8,2,0.88
Tamil Nadu,District_49,Zaid,Maize,Loamy,2145.3,26.5,44.2,194.7,5.6,Sprinkler,Pulses,High,194.0,64.3,98.2,4,2.25
Karnataka,District_37,Zaid,Cotton,Black,398.6,32.5,66.6,150.3,5.9,Drip,Wheat,Low,117.6,66.1,81.2,5,2.46
Punjab,District_4,Kharif,Maize,Loamy,1458.7,27.4,61.6,118.9,6.1,Rainfed,Pulses,High,68.5,26.4,89.5,8,2.12
West Bengal,District_49,Zaid,Cotton,Black,717.4,22.3,65.8,124.8,6.8,Rainfed,Sugarcane,Low,116.1,37.4,73.9,5,2.32
Meghalaya,District_16,Rabi,Rice,Red,1263.0,24.0,66.5,172.4,5.9,Canal,Rice,Low,177.1,75.4,105.7,7,4.26
Uttar Pradesh,District_46,Rabi,Cotton,Loamy,1312.8,20.9,55.5,239.1,7.6,Canal,Rice,High,186.1,28.1,68.9,9,1.79
Gujarat,District_6,Kharif,Cotton,Alluvial,1666.7,26.2,41.5,251.1,7.5,Sprinkler,Sugarcane,High,54.7,29.3,49.6,1,1.85
Maharashtra,District_24,Rabi,Wheat,Alluvial,1602.3,31.0,77.5,218.6,7.8,Rainfed,Wheat,High,84.2,22.4,114.6,1,2.99
Manipur,District_12,Kharif,Cotton,Loamy,557.1,32.7,42.8,113.8,6.1,Tubewell,Rice,Low,69.9,93.1,108.4,4,2.19
Maharashtra,District_14,Rabi,Wheat,Loamy,758.8,28.5,59.1,87.1,5.8,Rainfed,Cotton,Medium,121.2,61.5,142.8,6,2.77
Gujarat,District_19,Rabi,Maize,Sandy,614.5,26.8,65.3,217.5,5.9,Tubewell,Sugarcane,High,100.9,33.0,97.6,3,2.34
Tamil Nadu,District_1,Kharif,Maize,Alluvial,715.7,37.7,49.9,121.5,5.7,Canal,Wheat,Medium,111.8,59.1,57.6,3,2.15
Meghalaya,District_14,Rabi,Wheat,Black,409.0,33.6,86.0,187.9,7.5,Tubewell,Maize,Low,160.5,24.4,101.5,4,3.18
Manipur,District_45,Kharif,Sugarcane,Loamy,1993.0,16.5,74.8,235.4,7.2,Drip,Wheat,Medium,51.7,73.9,42.3,5,67.62
Meghalaya,District_27,Kharif,Maize,Black,1468.2,31.4,43.1,259.7,5.7,Canal,Rice,Medium,121.7,58.9,125.5,6,2.86
Tamil Nadu,District_16,Zaid,Sugarcane,Black,928.5,16.1,77.6,191.1,7.0,Sprinkler,Rice,Low,152.1,41.8,90.7,8,69.32
Rajasthan,District_33,Zaid,Cotton,Sandy,639.5,34.5,71.7,220.1,5.5,Drip,Wheat,Medium,157.0,55.6,80.3,7,2.07
Rajasthan,District_42,Zaid,Rice,Red,688.3,16.8,75.5,176.4,6.1,Canal,Pulses,Low,140.6,89.9,99.8,4,3.58
Haryana,District_49,Zaid,Rice,Black,1927.9,23.6,45.6,281.0,6.1,Canal,Cotton,High,106.1,92.7,140.9,6,3.64
Gujarat,District_26,Kharif,Sugarcane,Black,1184.7,28.2,41.1,102.6,7.3,Drip,Cotton,High,93.0,35.8,99.6,9,56.5
Maharashtra,District_31,Rabi,Wheat,Sandy,652.1,33.8,83.9,200.1,6.4,Tubewell,Sugarcane,Medium,184.2,84.4,96.8,1,2.39
Haryana,District_21,Kharif,Pulses,Black,2625.3,15.7,47.8,128.5,6.0,Sprinkler,Sugarcane,Medium,154.2,77.7,89.6,9,1.17
Assam,District_44,Kharif,Maize,Black,1322.7,37.7,55.4,284.2,6.3,Drip,Sugarcane,Low,58.5,82.8,126.6,2,3.09
Punjab,District_2,Kharif,Pulses,Sandy,1329.0,19.9,92.9,176.8,6.2,Tubewell,Cotton,Medium,196.6,30.7,106.0,9,1.28
Odisha,District_48,Rabi,Wheat,Black,1668.2,32.0,49.9,152.2,6.7,Canal,Pulses,High,142.9,41.7,147.2,6,3.19
West Bengal,District_22,Zaid,Wheat,Red,1858.5,28.2,89.1,149.5,5.7,Tubewell,Pulses,High,60.3,95.2,40.4,5,2.65
Gujarat,District_7,Rabi,Pulses,Loamy,2036.1,37.7,91.7,196.9,6.5,Sprinkler,Pulses,Medium,132.6,21.5,121.1,6,1.35
Odisha,District_24,Zaid,Rice,Black,1412.0,34.2,89.7,179.1,6.5,Drip,Sugarcane,Low,155.6,39.5,48.4,9,4.52
Gujarat,District_9,Kharif,Sugarcane,Loamy,1039.7,27.1,88.2,83.2,7.1,Drip,Maize,Low,86.8,62.0,72.2,3,62.49
Uttar Pradesh,District_39,Zaid,Maize,Red,1252.0,28.0,58.8,165.2,7.3,Canal,Sugarcane,High,50.8,34.6,129.4,9,2.52
Odisha,District_16,Zaid,Wheat,Sandy,978.8,31.8,67.7,281.0,7.5,Sprinkler,Sugarcane,High,105.0,29.3,67.7,5,2.81
Uttar Pradesh,District_8,Zaid,Rice,Alluvial,1288.1,26.3,82.3,137.6,6.8,Rainfed,Sugarcane,Medium,145.9,80.7,127.9,2,4.0
Gujarat,District_37,Rabi,Cotton,Loamy,520.8,21.2,61.5,252.7,6.1,Canal,Wheat,Medium,93.7,72.1,147.3,1,1.94
Maharashtra,District_29,Kharif,Pulses,Loamy,632.9,36.3,45.6,238.8,6.0,Drip,Maize,Medium,185.3,42.3,116.3,5,1.04
Uttar Pradesh,District_49,Kharif,Sugarcane,Black,1679.2,19.0,56.9,274.0,5.3,Drip,Rice,High,160.0,53.8,115.8,3,57.46
Karnataka,District_37,Rabi,Pulses,Red,1341.2,15.3,52.8,67.0,6.4,Canal,Wheat,High,158.2,95.1,41.5,4,1.31
Karnataka,District_50,Zaid,Maize,Red,1809.0,34.4,90.3,103.3,7.7,Rainfed,Wheat,High,170.9,92.0,77.8,3,2.31
Rajasthan,District_31,Rabi,Pulses,Red,476.2,23.0,69.8,158.2,7.7,Drip,Cotton,Medium,113.6,65.1,124.0,5,1.15
Haryana,District_28,Kharif,Pulses,Sandy,1150.6,17.0,62.7,165.1,7.1,Rainfed,Pulses,High,58.0,69.1,96.4,1,1.18
Odisha,District_38,Zaid,Rice,Alluvial,1682.5,33.7,51.4,153.1,6.9,Canal,Pulses,High,132.5,54.5,147.9,4,4.38
Odisha,District_29,Rabi,Sugarcane,Loamy,689.9,22.5,67.3,136.3,6.4,Sprinkler,Wheat,High,199.8,43.0,71.1,3,49.09
Uttar Pradesh,District_49,Zaid,Wheat,Red,1432.2,28.4,76.4,68.5,6.9,Tubewell,Cotton,High,129.9,26.6,53.7,1,2.64
Manipur,District_6,Kharif,Rice,Sandy,705.2,18.6,76.4,256.4,5.2,Tubewell,Pulses,Medium,105.3,42.0,87.5,4,2.69
Gujarat,District_36,Rabi,Rice,Loamy,631.8,27.4,67.6,286.4,6.5,Rainfed,Pulses,Low,166.6,69.1,64.8,7,3.11
West Bengal,District_35,Kharif,Cotton,Sandy,2378.2,27.5,57.6,154.9,7.5,Canal,Cotton,Medium,136.4,62.0,45.8,5,2.07
Uttar Pradesh,District_15,Zaid,Rice,Black,1890.1,21.9,60.4,258.4,7.7,Tubewell,Sugarcane,Low,112.2,64.3,40.8,6,4.15
Tamil Nadu,District_49,Kharif,Rice,Black,1213.4,32.4,63.8,264.0,7.5,Sprinkler,Sugarcane,Low,182.0,63.5,126.7,9,4.11
Maharashtra,District_29,Rabi,Cotton,Loamy,1255.9,24.4,92.6,214.2,5.7,Tubewell,Rice,Low,171.3,72.4,142.0,3,1.99
